Montcada i Reixac	41.48468897	2.18746507	topo1	Montcada i Reixac	1
Montellà i Martinet	42.36146297	1.69677447	topo1	Montellà i Martinet	1
Mont-roig del Camp	41.08825086	0.95776992	topo1	Mont-roig del Camp	1
Menàrguens	41.72959752	0.74355642	topo1	Menàrguens	1
Montesquiu	42.10999187	2.20974819	topo1	Montesquiu	1
Montblanc	41.37656212	1.16149917	topo1	Montblanc	1
Montagut i Oix	42.23081239	2.59763689	topo1	Montagut i Oix	1
Montferrer i Castellbó	42.3419576	1.42780351	topo1	Montferrer i Castellbò	1
Montgat	41.46660361	2.27905843	topo1	Montgat	1
Montmaneu	41.6256647	1.41461152	topo1	Montmaneu	1
Montgai	41.79986039	0.96100772	topo1	Montgai	1
Montmeló	41.5515773	2.2480687	topo1	Montmeló	1
Montferri	41.26565945	1.36577971	topo1	Montferri	1
Montoliu de Segarra	41.59009782	1.27011195	topo1	Montoliu de Segarra	1
Meranges	42.44618451	1.78686867	topo1	Meranges	1
Montornès de Segarra	41.60074469	1.22956775	topo1	Montornès de Segarra	1
Montmell, el	41.31482135	1.45248456	topo1	el Montmell	0
Moià	41.81305607	2.09714443	topo1	Moià	1
Monistrol de Montserrat	41.60962346	1.84249509	topo1	Monistrol de Montserrat	1
Mont-ral	41.28683328	1.09693667	topo1	Mont-ral	1
Maçanet de Cabrenys	42.38593602	2.7480676	topo1	Maçanet de Cabrenys	1
Montornès del Vallès	41.54490132	2.26621299	topo1	Montornès del Vallès	1
Montseny	41.75915817	2.39491004	topo1	Montseny	1
Morell, el	41.19219179	1.20887558	topo1	el Morell	0
Navès	41.990797	1.64011245	topo1	Navès	1
Naut Aran	42.70729424	0.89855998	topo1	Naut Aran	1
Navata	42.22377294	2.86068313	topo1	Navata	1
Nou de Gaià, la	41.18298618	1.37376024	topo1	la Nou de Gaià	0
Morera de Montsant, la	41.26495767	0.84181947	topo1	la Morera de Montsant	0
Navarcles	41.7516175	1.90375655	topo1	Navarcles	1
Muntanyola	41.87828835	2.17782911	topo1	Muntanyola	1
Nalec	41.56018113	1.11516823	topo1	Nalec	1
Móra la Nova	41.09994376	0.65085304	topo1	Móra la Nova	1
Móra d'Ebre	41.09251056	0.64112437	topo1	Móra d Ebre	1
Mura	41.69957259	1.97620507	topo1	Mura	1
Navàs	41.89994691	1.87891821	topo1	Navàs	1
Odèn	42.13394847	1.38666817	topo1	Odèn	1
Nulles	41.24931205	1.29520002	topo1	Nulles	1
Olesa de Bonesvalls	41.35179497	1.85052529	topo1	Olesa de Bonesvalls	1
Ogassa	42.26595001	2.27685218	topo1	Ogassa	1
Olius	41.97823203	1.55971222	topo1	Olius	1
