CUSEC,vivienda turistica,plazas,plazas por vivienda turistica,Porcentaje vivienda turistica,PERIODO,PROV,MUN_LITERAL
0801908002,0,0,0.0,0.0,2025M11,8,Barcelona
0801909023,0,0,0.0,0.0,2025M11,8,Barcelona
0801909022,0,0,0.0,0.0,2025M11,8,Barcelona
0801909021,0,0,0.0,0.0,2025M11,8,Barcelona
0801908006,1,4,4.0,0.13422818,2025M11,8,Barcelona
0801909019,0,0,0.0,0.0,2025M11,8,Barcelona
0801908008,0,0,0.0,0.0,2025M11,8,Barcelona
0801909017,0,0,0.0,0.0,2025M11,8,Barcelona
0801909014,0,0,0.0,0.0,2025M11,8,Barcelona
0801909013,1,4,4.0,0.12391574,2025M11,8,Barcelona
0801908012,0,0,0.0,0.0,2025M11,8,Barcelona
0801909011,0,0,0.0,0.0,2025M11,8,Barcelona
0801908010,0,0,0.0,0.0,2025M11,8,Barcelona
0801909009,0,0,0.0,0.0,2025M11,8,Barcelona
0801909007,0,0,0.0,0.0,2025M11,8,Barcelona
0801908016,1,4,4.0,0.18181819,2025M11,8,Barcelona
0801908017,1,4,4.0,0.15503876,2025M11,8,Barcelona
0801909005,0,0,0.0,0.0,2025M11,8,Barcelona
0801908018,0,0,0.0,0.0,2025M11,8,Barcelona
0801909004,1,1,1.0,0.1485884,2025M11,8,Barcelona
0801908215,1,4,4.0,0.15625,2025M11,8,Barcelona
0801908022,0,0,0.0,0.0,2025M11,8,Barcelona
0801908116,0,0,0.0,0.0,2025M11,8,Barcelona
0801908114,0,0,0.0,0.0,2025M11,8,Barcelona
0801908075,1,4,4.0,0.11025358,2025M11,8,Barcelona
0801908095,0,0,0.0,0.0,2025M11,8,Barcelona
0801908026,1,4,4.0,0.16051364,2025M11,8,Barcelona
0801908028,0,0,0.0,0.0,2025M11,8,Barcelona
0801908109,0,0,0.0,0.0,2025M11,8,Barcelona
0801908029,0,0,0.0,0.0,2025M11,8,Barcelona
0801908106,0,0,0.0,0.0,2025M11,8,Barcelona
0801908107,0,0,0.0,0.0,2025M11,8,Barcelona
0801908030,0,0,0.0,0.0,2025M11,8,Barcelona
0801908101,1,4,4.0,0.12406948,2025M11,8,Barcelona
0801908035,0,0,0.0,0.0,2025M11,8,Barcelona
0801908100,0,0,0.0,0.0,2025M11,8,Barcelona
0801908098,0,0,0.0,0.0,2025M11,8,Barcelona
0801908096,0,0,0.0,0.0,2025M11,8,Barcelona
0801908104,0,0,0.0,0.0,2025M11,8,Barcelona
0801908038,1,4,4.0,0.1303781,2025M11,8,Barcelona
0801908091,0,0,0.0,0.0,2025M11,8,Barcelona
0801908042,0,0,0.0,0.0,2025M11,8,Barcelona
0801908090,0,0,0.0,0.0,2025M11,8,Barcelona
0801908044,0,0,0.0,0.0,2025M11,8,Barcelona
0801908087,0,0,0.0,0.0,2025M11,8,Barcelona
0801908084,0,0,0.0,0.0,2025M11,8,Barcelona
0801908082,0,0,0.0,0.0,2025M11,8,Barcelona
0801908079,0,0,0.0,0.0,2025M11,8,Barcelona
0801908083,0,0,0.0,0.0,2025M11,8,Barcelona
0801908052,0,0,0.0,0.0,2025M11,8,Barcelona
0801908077,0,0,0.0,0.0,2025M11,8,Barcelona
0801908073,0,0,0.0,0.0,2025M11,8,Barcelona
0801908081,0,0,0.0,0.0,2025M11,8,Barcelona
0801908058,0,0,0.0,0.0,2025M11,8,Barcelona
0801908086,0,0,0.0,0.0,2025M11,8,Barcelona
0801908071,0,0,0.0,0.0,2025M11,8,Barcelona
0801908060,0,0,0.0,0.0,2025M11,8,Barcelona
0801908061,1,4,4.0,0.14577259,2025M11,8,Barcelona
0801908064,0,0,0.0,0.0,2025M11,8,Barcelona
0801908065,0,0,0.0,0.0,2025M11,8,Barcelona
0801908067,1,4,4.0,0.1331558,2025M11,8,Barcelona
0801908063,0,0,0.0,0.0,2025M11,8,Barcelona
0801908069,0,0,0.0,0.0,2025M11,8,Barcelona
0801908066,0,0,0.0,0.0,2025M11,8,Barcelona
0801908074,0,0,0.0,0.0,2025M11,8,Barcelona
0801908059,0,0,0.0,0.0,2025M11,8,Barcelona
0801908057,0,0,0.0,0.0,2025M11,8,Barcelona
0801908056,0,0,0.0,0.0,2025M11,8,Barcelona
0801908072,0,0,0.0,0.0,2025M11,8,Barcelona
0801908055,0,0,0.0,0.0,2025M11,8,Barcelona
0801908053,0,0,0.0,0.0,2025M11,8,Barcelona
0801908046,0,0,0.0,0.0,2025M11,8,Barcelona
0801908051,0,0,0.0,0.0,2025M11,8,Barcelona
0801908049,0,0,0.0,0.0,2025M11,8,Barcelona
