N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
06-2024-0168,06,GRACIA,31,la Vila de Gràcia,Travessera,GRACIA,2,164,,,,,,,3,2,HUTB-077448,4,"2,15771026399711","41,4012321114378"
06-2024-0169,06,GRACIA,31,la Vila de Gràcia,Travessera,GRACIA,1,161,,,,,,,1,1,HUTB-077564,3,"2,15746882684743","41,4011625353624"
06-2024-0170,06,GRACIA,31,la Vila de Gràcia,Travessera,GRACIA,1,161,,,,,,,2,2,HUTB-077563,2,"2,15746882684743","41,4011625353624"
06-2024-0171,06,GRACIA,31,la Vila de Gràcia,Travessera,GRACIA,1,161,,,,,,,2,3,HUTB-077562,2,"2,15746882684743","41,4011625353624"
06-2024-0172,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,ROGER DE FLOR,1,241,,,,,,,SA,1,HUTB-077560,4,"2,16723974234389","41,4027728154958"
06-2024-0175,06,GRACIA,31,la Vila de Gràcia,Travessera,GRACIA,2,164,,,,,,,1,2,HUTB- 077836,2,"2,15771026399711","41,4012321114378"
06-2025-0002,06,GRACIA,31,la Vila de Gràcia,Via,AUGUSTA,2,14,,,,,,,3,1,HUTB-078212,14,"2,15498316714449","41,3969413047012"
06-2025-0003,06,GRACIA,31,la Vila de Gràcia,Carrer,FRANCISCO GINER,1,23,,,,,,,PR,1,HUTB-078213,7,"2,15922445954813","41,3990069063901"
06-2025-0007,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,GRASSOT,1,35,,,,,,,1,1,HUTB-078664,7,"2,16744911307418","41,4035394715414"
06-2025-0013,06,GRACIA,31,la Vila de Gràcia,Carrer,ALZINA,2,26,,,,,,,2,1,HUTB- 079286,2,"2,15620421883931","41,406722467356"
06-2026-0002,06,GRACIA,31,la Vila de Gràcia,Carrer,DOCTOR RIZAL,1,1,,3,,,,,BJ,C,,8,"2,15642590217901","41,3977664568171"
07-2008-0184,07,HORTA-GUINARDÓ,33,el Baix Guinardó,Carrer,MARINA,2,366,,,,,,,3,1,HUTB-000018,7,"2,16965723532294","41,408280465111"
07-2008-0185,07,HORTA-GUINARDÓ,33,el Baix Guinardó,Carrer,MARINA,2,366,,,,,,,2,,HUTB-000019,4,"2,16965723532294","41,408280465111"
07-2008-0186,07,HORTA-GUINARDÓ,33,el Baix Guinardó,Carrer,MARINA,2,366,,,,,,,1,,HUTB-000020,4,"2,16965723532294","41,408280465111"
07-2008-0220,07,HORTA-GUINARDÓ,33,el Baix Guinardó,Travessera,GRACIA,2,372,,,,,,,EN,02,HUTB-000597,7,"2,17308090510551","41,410888710408"
07-2008-0227,07,HORTA-GUINARDÓ,35,el Guinardó,Passatge,GIRA-SOL,1,5,,,,,,,3,4,HUTB-000366,2,"2,17897231864453","41,415432018455"
07-2008-0257,07,HORTA-GUINARDÓ,33,el Baix Guinardó,Travessera,GRACIA,1,441,,443,,,,,PR,02,HUTB-000609,6,"2,17327226387705","41,4112884411798"
07-2008-0258,07,HORTA-GUINARDÓ,33,el Baix Guinardó,Travessera,GRACIA,1,441,,,,,,,4,2,HUTB-000610,6,"2,17327226387705","41,4112884411798"
07-2008-0261,07,HORTA-GUINARDÓ,35,el Guinardó,Carrer,RENAIXENÇA,2,54,,,,,,,BJ,A,HUTB-001633,3,"2,17752331428524","41,4183852426677"
07-2008-0262,07,HORTA-GUINARDÓ,35,el Guinardó,Carrer,RENAIXENÇA,2,54,,56,,,,,BJ,B,HUTB-001635,4,"2,17752331428524","41,4183852426677"
07-2008-0263,07,HORTA-GUINARDÓ,35,el Guinardó,Carrer,RENAIXENÇA,2,54,,,,,,,BJ,C,HUTB-001634,3,"2,17752331428524","41,4183852426677"
07-2008-0282,07,HORTA-GUINARDÓ,33,el Baix Guinardó,Travessera,GRACIA,1,441,,,,,,,1,3,HUTB-000601,6,"2,17327226387705","41,4112884411798"
07-2008-0283,07,HORTA-GUINARDÓ,33,el Baix Guinardó,Travessera,GRACIA,1,441,,,,,,,PR,4,HUTB-000599,6,"2,17327226387705","41,4112884411798"
07-2008-0284,07,HORTA-GUINARDÓ,33,el Baix Guinardó,Travessera,GRACIA,1,441,,,,,,,3,4,HUTB-000600,6,"2,17327226387705","41,4112884411798"
