Passeig DE GRACIA, 58, 08007, Barcelona	41.39774289	2.15849818	address	Passeig de Gràcia 122-124, Barcelona
Passeig Gracia, 108, 08008, Barcelona	41.39621903	2.16039204	address	Passeig de Gràcia 108, Barcelona
Passeig GRACIA, 108, 08008, Barcelona	41.39621903	2.16039204	address	Passeig de Gràcia 108, Barcelona
Passeig de Gràcia, 115, 08008, Barcelona	41.39774289	2.15849818	address	Passeig de Gràcia 122-124, Barcelona
Passeig GRACIA, 113, 08008, Barcelona	41.39696538	2.15845177	address	Passeig de Gràcia 113, Barcelona
Carrer Travessera de Gracia, 32, 08021, Barcelona	41.39871041	2.15694784	address	Carrer Gran de Gràcia 30-32, Barcelona
Travessera Gracia, 136, 08012, Barcelona	41.40051405	2.15661012	address	Travessera de Gràcia 136, Barcelona
Passeig GRACIA, 128, 08008, Barcelona	41.39791154	2.15828937	address	Passeig de Gràcia 128, Barcelona
Travessera Gràcia, 441, 08025, Barcelona	41.41128537	2.17326183	address	Travessera de Gràcia 441-443, Barcelona
Travessera GRACIA, 133, 08012, Barcelona	41.40039431	2.15614708	address	Travessera de Gràcia 133, Barcelona
Travessera Gràcia, 13, 08021, Barcelona	41.3941399	2.14621485	address	Travessera de Gràcia 13, Barcelona
Travessera de Gràcia, 51, 08006, Barcelona	41.4114535	2.17350855	address	Travessera de Gràcia 449-451, Barcelona
Travessera de Gràcia, 164, 08012, Barcelona	41.4114535	2.17350855	address	Travessera de Gràcia 449-451, Barcelona
Travessera Gràcia, 372, 08025, Barcelona	41.41089173	2.17307638	address	Travessera de Gràcia 372-376, Barcelona
Travessera Gràcia, 441-443, 08025, Barcelona	41.41128537	2.17326183	address	Travessera de Gràcia 441-443, Barcelona
Passeig Gràcia, 3, 08007, Barcelona	41.38821731	2.1692719	address	Passeig de Gràcia 3, Barcelona
Passeig Gràcia, 89, 08008, Barcelona	41.39480754	2.16111873	address	Passeig de Gràcia 89, Barcelona
Carrer GRAN DE GRACIA, 250, 08012, Barcelona	41.40525683	2.15094846	address	Carrer Gran de Gràcia 250, Barcelona
Carrer Grases, 8, 08004, Barcelona	41.37318608	2.15661755	address	Carrer de Grases 8, Barcelona
Travessera Gràcia, 343, 08024, Barcelona	41.40748191	2.16741198	address	Travessera de Gràcia 343, Barcelona
Carrer Gran de Gràcia, 205, 08012, Barcelona	41.40559885	2.15049576	address	Carrer Gran de Gràcia 243-245, Barcelona
Carrer Gran de Gràcia, 29, 08012, Barcelona	41.40559885	2.15049576	address	Carrer Gran de Gràcia 243-245, Barcelona
Passeig GRACIA, 99, 08008, Barcelona	41.39532511	2.16047511	address	Passeig de Gràcia 99, Barcelona
Passeig Gràcia, 64, 08007, Barcelona	41.39301647	2.16436831	address	Passeig de Gràcia 64, Barcelona
Carrer Gran de Gràcia, 54, 08012, Barcelona	41.40559885	2.15049576	address	Carrer Gran de Gràcia 243-245, Barcelona
Carrer Grassot, 66, 08025, Barcelona	41.40449454	2.16632126	address	Carrer d'en Grassot 66, Barcelona
Carrer GRASSOT, 4, 08025, Barcelona	41.40256779	2.16891217	address	Carrer d'en Grassot 4, Barcelona
Carrer Grassot, 100, 08025, Barcelona	41.40537123	2.16513243	address	Carrer d'en Grassot 100, Barcelona
Carrer Helsinki, 19, 08005, Barcelona	41.39187544	2.1958751	address	Carrer d'Hèlsinki 19, Barcelona
Carrer Guàrdia, 8, 08001, Barcelona	41.37791344	2.17376529	address	Carrer de Guàrdia 8, Barcelona
Carrer Grau i Torras, 17, 08003, Barcelona	41.37770963	2.19094855	address	Carrer de Grau i Torras 64, Barcelona
Carrer Guillem Tell, 15, 08006, Barcelona	41.40176095	2.14774594	address	Carrer de Guillem Tell 49, Barcelona
Plaça Guinardó, 2, 08041, Barcelona	41.42181189	2.17539	address	Plaça del Guinardó 2, Barcelona
Carrer Guillem Tell, 34, 08006, Barcelona	41.40176095	2.14774594	address	Carrer de Guillem Tell 49, Barcelona
Ronda GUINARDO, 77, 08024, Barcelona	41.42317137	2.177242	address	Ronda del Guinardó 241 B-249, Barcelona
Carrer de les Heures, 4, 08002, Barcelona	41.38083086	2.17527133	address	Carrer de les Heures 7, Barcelona
Carrer Guillem Tell, 21, 08006, Barcelona	41.40176095	2.14774594	address	Carrer de Guillem Tell 49, Barcelona
Carrer Helsinki, 3, 08005, Barcelona	41.39187544	2.1958751	address	Carrer d'Hèlsinki 3, Barcelona
Carrer Hipolit Lazaro, 19, 08025, Barcelona	41.407379	2.16369217	address	Carrer d'Hipòlit Lázaro 36, Barcelona
Carrer Hipòlit Làzaro, 25, 08025, Barcelona	41.407379	2.16369217	address	Carrer d'Hipòlit Lázaro 36, Barcelona
Carrer Horta, 7, 08031, Barcelona	41.43057904	2.16263181	address	Carrer d'Horta 7, Barcelona
Carrer Hospital, 25, 08001, Barcelona	41.38088038	2.17223121	address	Carrer de l'Hospital 25-29, Barcelona
Carrer Hospital, 114, 08001, Barcelona	41.37967011	2.1675607	address	Carrer de l'Hospital 114, Barcelona
Carrer HOMER, 37, 08023, Barcelona	41.40696693	2.14630551	address	Carrer d'Homer 37, Barcelona
Avinguda d Icària, 217, 08005, Barcelona	41.39420646	2.20016746	address	Avinguda d'Icària 207-209, Barcelona
Carrer Hospital, 2, 08001, Barcelona	41.38122869	2.17284552	address	Carrer de l'Hospital 2, Barcelona
Carrer HOMER, 35B, 08023, Barcelona	41.40811744	2.14477821	address	Carrer d'Homer 59 B, Barcelona
Avinguda Icària, 137, 08005, Barcelona	41.39051849	2.19586754	address	Avinguda d'Icària 137, Barcelona
Avinguda Icària, 143, 08005, Barcelona	41.39051849	2.19586754	address	Avinguda d'Icària 143, Barcelona
Carrer Hospital, 133, 08001, Barcelona	41.37956584	2.16748145	address	Carrer de l'Hospital 133, Barcelona
Carrer Hostal d'en Sol, 3, 08002, Barcelona	41.3814437	2.18058808	address	Carrer de l'Hostal d'en Sol 14, Barcelona
Carrer Igualada, 20, 08012, Barcelona	41.40177139	2.1631223	address	Carrer d'Igualada 20, Barcelona
Carrer Independència, 287, 08026, Barcelona	41.40803786	2.18287125	address	Carrer de la Independència 287, Barcelona
Carrer Independència, 317, 08026, Barcelona	41.40912022	2.18145062	address	Carrer de la Independència 317, Barcelona
Carrer INDEPENDENCIA, 319, 08026, Barcelona	41.40918205	2.1813692	address	Carrer de la Independència 319, Barcelona
Carrer Independència, 297, 08026, Barcelona	41.40831514	2.18251079	address	Carrer de la Independència 297-299, Barcelona
Carrer Independència, 315, 08026, Barcelona	41.40903804	2.18155884	address	Carrer de la Independència 315, Barcelona
Carrer Independència, 350, 08026, Barcelona	41.41110315	2.17921625	address	Carrer de la Independència 350, Barcelona
Carrer Indústria, 52, 08025, Barcelona	41.40466684	2.16809334	address	Carrer de la Indústria 52, Barcelona
Carrer Indústria, 93, 08025, Barcelona	41.40641999	2.17005447	address	Carrer de la Indústria 93, Barcelona
Carrer Indústria, 183, 08025, Barcelona	41.41081827	2.17591793	address	Carrer de la Indústria 183, Barcelona
Carrer Indústria, 18, 08037, Barcelona	41.40295916	2.16585113	address	Carrer de la Indústria 18, Barcelona
Carrer Indústria, 105, 08025, Barcelona	41.40691261	2.17071226	address	Carrer de la Indústria 105, Barcelona
Carrer de la Indústria, 165, 08025, Barcelona	41.41771441	2.18538002	address	Carrer de la Indústria 356-360, Barcelona
Carrer INDUSTRIA, 165, 08025, Barcelona	41.41015999	2.1750406	address	Carrer de la Indústria 165, Barcelona
Carrer Indústria, 165, 08025, Barcelona	41.41015999	2.1750406	address	Carrer de la Indústria 165, Barcelona
Carrer Indústria, 326, 08026, Barcelona	41.41636995	2.18355832	address	Carrer de la Indústria 326, Barcelona
Carrer Indústria, 226-230, 08026, Barcelona	41.4122377	2.17807961	address	Carrer de la Indústria 226-230, Barcelona
Carrer Indústria, 16, 08037, Barcelona	41.40285711	2.16571821	address	Carrer de la Indústria 16, Barcelona
Carrer Indústria, 198, 08025, Barcelona	41.41128724	2.1768983	address	Carrer de la Indústria 198, Barcelona
Carrer Indústria, 24, 08037, Barcelona	41.40318203	2.1661409	address	Carrer de la Indústria 24, Barcelona
Carrer Indústria, 201-203, 08041, Barcelona	41.41151921	2.17683333	address	Carrer de la Indústria 201-203, Barcelona
Carrer Indústria, 201, 08041, Barcelona	41.41151921	2.17683333	address	Carrer de la Indústria 201-203, Barcelona
Carrer Indústria, 81, 08025, Barcelona	41.4057108	2.16911983	address	Carrer de la Indústria 81, Barcelona
Carrer INDUSTRIA, 80, 08025, Barcelona	41.40581551	2.1696279	address	Carrer de la Indústria 80, Barcelona
Carrer Indústria, 42, 08025, Barcelona	41.40410335	2.16734449	address	Carrer de la Indústria 42, Barcelona
Carrer Indústria, 158, 08025, Barcelona	41.40975749	2.1748729	address	Carrer de la Indústria 158-160, Barcelona
Carrer JOAN DÀUSTRIA, 51, 08005, Barcelona			NONE	
Carrer Joan dÀustria, 51, 08005, Barcelona			NONE	
Carrer de Jaume Vicens i Vives, 15, 08005, Barcelona	41.39356913	2.20181161	address	Carrer de Jaume Vicens i Vives 15, Barcelona
Passeig Joan de Borbó, 15, 08003, Barcelona	41.36565721	2.1862066	address	Passeig de Joan de Borbó Comte de Barcelona 144-146, Barcelona
Passeig d Isabel II, 2, 08003, Barcelona	41.382304	2.18334882	address	Passeig d'Isabel II 14 B, Barcelona
Passeig Joan de Borbó, 38, 08003, Barcelona	41.36565721	2.1862066	address	Passeig de Joan de Borbó Comte de Barcelona 144-146, Barcelona
Passeig Joan de Borbó, 50, 08003, Barcelona	41.36565721	2.1862066	address	Passeig de Joan de Borbó Comte de Barcelona 144-146, Barcelona
Carrer JOAN D'AUSTRIA, 51, 08005, Barcelona	41.39627663	2.18748269	address	Carrer de Joan d'Àustria 126-128, Barcelona
Carrer Joan Güell, 108, 08028, Barcelona	41.3877418	2.1287356	address	Carrer de Joan Güell 236-254, Barcelona
Plaça Joaquim Folguera, 2, 08022, Barcelona	41.40592431	2.13881112	address	Plaça de Joaquim Folguera 10, Barcelona
Carrer Joaquim Costa, 53, 08001, Barcelona	41.38347514	2.16471696	address	Carrer de Joaquín Costa 53, Barcelona
Carrer Jocs Florals, 172-174, 08014, Barcelona	41.37050685	2.13654374	address	Carrer dels Jocs Florals 176-178, Barcelona
Plaça Joaquim Xirau i Palau, 1, 08002, Barcelona	41.37873526	2.176677	address	Plaça de Joaquim Xirau i Palau 8, Barcelona
Carrer Joan Güell, 169, 08028, Barcelona	41.3877418	2.1287356	address	Carrer de Joan Güell 236-254, Barcelona
Carrer de Joaquín Costa, 28, 08001, Barcelona	41.38401781	2.16428115	address	Carrer de Joaquín Costa 68, Barcelona
